"RecordID","SalesOrderID","SalesOrderDetailID","RevisionNumber","OrderDate","DueDate","ShipDate","Status","OnlineOrderFlag","SalesOrderNumber","PurchaseOrderNumber","AccountNumber","CustomerID","ShipToAddressID","BillToAddressID","CreditCardApprovalCode","ShipMethod","SalesOrderID1","ProductID","OrderQty","UnitPrice","UnitPriceDiscount","LineTotal","Header_Modified_Date","Detail_Modified_Date","LineTaxAmount","LineFreight","createDate"
"1","71782","110667","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","714","3","29.9940","0.0000","89.982000","2008-06-08 00:00:00","2008-06-01 00:00:00","7.20","2.25","2023-02-12 23:08:02"
"2","71782","110668","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","956","3","1430.4420","0.0000","4291.326000","2008-06-08 00:00:00","2008-06-01 00:00:00","343.31","107.28","2023-02-12 23:08:02"
"3","71782","110669","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","954","1","1430.4420","0.0000","1430.442000","2008-06-08 00:00:00","2008-06-01 00:00:00","114.44","35.76","2023-02-12 23:08:02"
"4","71782","110670","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","712","10","5.3940","0.0000","53.940000","2008-06-08 00:00:00","2008-06-01 00:00:00","4.32","1.35","2023-02-12 23:08:02"
"5","71782","110671","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","877","10","4.7700","0.0000","47.700000","2008-06-08 00:00:00","2008-06-01 00:00:00","3.82","1.19","2023-02-12 23:08:02"
"6","71782","110672","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","996","4","72.8940","0.0000","291.576000","2008-06-08 00:00:00","2008-06-01 00:00:00","23.33","7.29","2023-02-12 23:08:02"
"7","71782","110673","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","864","6","38.1000","0.0000","228.600000","2008-06-08 00:00:00","2008-06-01 00:00:00","18.29","5.72","2023-02-12 23:08:02"
"8","71782","110674","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","876","3","72.0000","0.0000","216.000000","2008-06-08 00:00:00","2008-06-01 00:00:00","17.28","5.40","2023-02-12 23:08:02"
"9","71782","110675","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","959","4","445.4100","0.0000","1781.640000","2008-06-08 00:00:00","2008-06-01 00:00:00","142.53","44.54","2023-02-12 23:08:02"
"10","71782","110676","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","971","4","728.9100","0.0000","2915.640000","2008-06-08 00:00:00","2008-06-01 00:00:00","233.25","72.89","2023-02-12 23:08:02"
